State,District,Population,Male_Population,Female_Population,Literacy_Rate,Area_sq_km,Population_Density,Sex_Ratio,Urban_Population,Data_Type,Reference_Year
Maharashtra,MH_District_02,68816,35356,33460,90.66,474,145.18,946,45715,Synthetic / Simulated,2025
Maharashtra,MH_District_03,78311,40501,37810,90.82,521,150.31,934,53229,Synthetic / Simulated,2025
Maharashtra,MH_District_04,86665,44464,42201,87.5,568,152.58,949,57032,Synthetic / Simulated,2025
Maharashtra,MH_District_05,74296,38926,35370,90.08,615,120.81,909,48906,Synthetic / Simulated,2025
Maharashtra,MH_District_06,70894,36395,34499,87.69,662,107.09,948,42313,Synthetic / Simulated,2025
Maharashtra,MH_District_07,110120,57571,52549,87.35,709,155.32,913,71314,Synthetic / Simulated,2025
Maharashtra,MH_District_08,96739,51126,45613,92.44,756,127.96,892,60475,Synthetic / Simulated,2025
Maharashtra,MH_District_09,85426,45096,40330,85.76,803,106.38,894,54199,Synthetic / Simulated,2025
Maharashtra,MH_District_10,67913,35360,32553,87.57,850,79.9,921,41973,Synthetic / Simulated,2025
Maharashtra,MH_District_11,95670,49393,46277,89.28,897,106.66,937,54289,Synthetic / Simulated,2025
Maharashtra,MH_District_12,114855,59251,55604,87.7,944,121.67,938,70532,Synthetic / Simulated,2025
Maharashtra,MH_District_13,69651,36792,32859,89.86,991,70.28,893,38046,Synthetic / Simulated,2025
Maharashtra,MH_District_14,103673,53085,50588,88.76,1038,99.88,953,62717,Synthetic / Simulated,2025
Maharashtra,MH_District_15,93581,49472,44109,90.09,1085,86.25,892,50648,Synthetic / Simulated,2025
Maharashtra,MH_District_16,116002,60659,55343,87.18,1132,102.48,912,74205,Synthetic / Simulated,2025
Maharashtra,MH_District_17,103702,54750,48952,89.37,1179,87.96,894,64476,Synthetic / Simulated,2025
Maharashtra,MH_District_18,107455,54918,52537,87.75,1226,87.65,957,68891,Synthetic / Simulated,2025
Maharashtra,MH_District_19,95822,50661,45161,89.53,1273,75.27,891,60367,Synthetic / Simulated,2025
Maharashtra,MH_District_20,118239,62168,56071,86.86,1320,89.58,902,77053,Synthetic / Simulated,2025
Manipur,MN_District_01,41733,20758,20975,80.57,3781,11.04,1010,17449,Synthetic / Simulated,2025
Manipur,MN_District_02,26460,13233,13227,83.69,5181,5.11,1000,10749,Synthetic / Simulated,2025
Manipur,MN_District_03,26023,13190,12833,80.82,1305,19.94,973,11093,Synthetic / Simulated,2025
Manipur,MN_District_04,32747,16183,16564,82.68,5735,5.71,1024,14067,Synthetic / Simulated,2025
Manipur,MN_District_05,41920,20590,21330,83.82,4023,10.42,1036,13362,Synthetic / Simulated,2025
Manipur,MN_District_06,60873,30181,30692,80.12,6275,9.7,1017,19222,Synthetic / Simulated,2025
Manipur,MN_District_07,56097,27947,28150,80.58,4830,11.61,1007,16611,Synthetic / Simulated,2025
Manipur,MN_District_08,43100,21312,21788,85.76,5258,8.2,1022,18416,Synthetic / Simulated,2025
Manipur,MN_District_09,42763,21134,21629,83.09,5937,7.2,1023,13702,Synthetic / Simulated,2025
Manipur,MN_District_10,26536,13452,13084,84.98,5387,4.93,973,9309,Synthetic / Simulated,2025
Manipur,MN_District_11,53540,26591,26949,83.36,4763,11.24,1013,20953,Synthetic / Simulated,2025
Manipur,MN_District_12,53448,26461,26987,79.63,4088,13.07,1020,16456,Synthetic / Simulated,2025
Manipur,MN_District_13,32604,16465,16139,80.08,4025,8.1,980,11428,Synthetic / Simulated,2025
Manipur,MN_District_14,61212,30857,30355,81.74,5975,10.24,984,20661,Synthetic / Simulated,2025
Manipur,MN_District_15,61987,30881,31106,81.94,4490,13.81,1007,24281,Synthetic / Simulated,2025
Manipur,MN_District_16,30811,15644,15167,81.76,2086,14.77,970,11345,Synthetic / Simulated,2025
Manipur,MN_District_17,50974,25584,25390,82.1,3722,13.7,992,14997,Synthetic / Simulated,2025
Manipur,MN_District_18,69457,34583,34874,84.79,6229,11.15,1008,23413,Synthetic / Simulated,2025
Manipur,MN_District_19,73081,36483,36598,84.29,2536,28.82,1003,29019,Synthetic / Simulated,2025
Manipur,MN_District_20,73088,36188,36900,86.27,3865,18.91,1020,25844,Synthetic / Simulated,2025
Meghalaya,ML_District_01,43767,22435,21332,74.65,4007,10.92,951,11888,Synthetic / Simulated,2025
Meghalaya,ML_District_02,16756,8595,8161,77.91,3768,4.45,950,4108,Synthetic / Simulated,2025
Meghalaya,ML_District_03,36322,18455,17867,80.19,4185,8.68,968,11247,Synthetic / Simulated,2025
Meghalaya,ML_District_04,21792,11257,10535,78.79,4904,4.44,936,7900,Synthetic / Simulated,2025
Meghalaya,ML_District_05,25116,12774,12342,78.6,5633,4.46,966,7662,Synthetic / Simulated,2025
Meghalaya,ML_District_06,51044,25725,25319,76.04,5725,8.92,984,15405,Synthetic / Simulated,2025
Meghalaya,ML_District_07,27156,13790,13366,78.58,1164,23.33,969,9942,Synthetic / Simulated,2025
Meghalaya,ML_District_08,36039,18374,17665,76.51,6235,5.78,961,9421,Synthetic / Simulated,2025
Meghalaya,ML_District_09,58364,29712,28652,76.15,1125,51.88,964,13782,Synthetic / Simulated,2025
Meghalaya,ML_District_10,41622,21163,20459,80.18,6184,6.73,967,13771,Synthetic / Simulated,2025
Meghalaya,ML_District_11,41408,20774,20634,76.55,1663,24.9,993,13244,Synthetic / Simulated,2025
Meghalaya,ML_District_12,45215,22919,22296,75.46,2070,21.84,973,10358,Synthetic / Simulated,2025
Meghalaya,ML_District_13,68161,35007,33154,79.46,6115,11.15,947,19976,Synthetic / Simulated,2025
Meghalaya,ML_District_14,46231,23616,22615,80.47,2657,17.4,958,16176,Synthetic / Simulated,2025
Meghalaya,ML_District_15,33025,16985,16040,80.07,5274,6.26,944,7699,Synthetic / Simulated,2025
Meghalaya,ML_District_16,69125,35126,33999,73.93,6146,11.25,968,18786,Synthetic / Simulated,2025
Meghalaya,ML_District_17,42510,21427,21083,76.89,4252,10,984,12231,Synthetic / Simulated,2025
Meghalaya,ML_District_18,61925,31662,30263,80.46,2041,30.34,956,22904,Synthetic / Simulated,2025
Meghalaya,ML_District_19,59527,30806,28721,79.39,4525,13.16,932,13053,Synthetic / Simulated,2025
Meghalaya,ML_District_20,75917,38456,37461,75.11,5720,13.27,974,27900,Synthetic / Simulated,2025
Mizoram,MZ_District_01,51291,25635,25656,89.04,2699,19,1001,23230,Synthetic / Simulated,2025
Mizoram,MZ_District_02,38520,19044,19476,87.65,4759,8.09,1023,12121,Synthetic / Simulated,2025
Mizoram,MZ_District_03,49166,24560,24606,92.1,931,52.81,1002,18922,Synthetic / Simulated,2025
Mizoram,MZ_District_04,17008,8535,8473,90.89,595,28.58,993,6990,Synthetic / Simulated,2025
Mizoram,MZ_District_05,36124,18128,17996,90.39,4543,7.95,993,15877,Synthetic / Simulated,2025
Mizoram,MZ_District_06,56623,27972,28651,92.05,3625,15.62,1024,23833,Synthetic / Simulated,2025
Mizoram,MZ_District_07,32885,16286,16599,92.88,6589,4.99,1019,12230,Synthetic / Simulated,2025
Mizoram,MZ_District_08,24310,12228,12082,91.88,2155,11.28,988,7735,Synthetic / Simulated,2025
Mizoram,MZ_District_09,59995,30003,29992,90.7,4175,14.37,1000,23022,Synthetic / Simulated,2025
Mizoram,MZ_District_10,33666,16705,16961,89.11,5517,6.1,1015,14396,Synthetic / Simulated,2025
Mizoram,MZ_District_11,23682,11831,11851,89.02,3829,6.18,1002,7816,Synthetic / Simulated,2025
Mizoram,MZ_District_12,54442,26940,27502,92.57,6238,8.73,1021,19659,Synthetic / Simulated,2025
Mizoram,MZ_District_13,42063,20692,21371,89,6440,6.53,1033,13637,Synthetic / Simulated,2025
Mizoram,MZ_District_14,65857,33351,32506,90.72,1472,44.74,975,26072,Synthetic / Simulated,2025
Mizoram,MZ_District_15,28561,14282,14279,89.49,6941,4.11,1000,11388,Synthetic / Simulated,2025
Mizoram,MZ_District_16,31917,15848,16069,91.74,3310,9.64,1014,13161,Synthetic / Simulated,2025
Mizoram,MZ_District_17,56054,28347,27707,89.38,2992,18.73,977,24623,Synthetic / Simulated,2025
Mizoram,MZ_District_18,55692,28107,27585,89.39,5628,9.9,981,19414,Synthetic / Simulated,2025
Mizoram,MZ_District_19,70138,34808,35330,93.8,2279,30.78,1015,25912,Synthetic / Simulated,2025
Mizoram,MZ_District_20,34269,17429,16840,92.02,4197,8.17,966,14048,Synthetic / Simulated,2025
Nagaland,NL_District_01,30045,14765,15280,85.4,444,67.67,1035,11238,Synthetic / Simulated,2025
Nagaland,NL_District_02,24192,11926,12266,78.75,3300,7.33,1029,8710,Synthetic / Simulated,2025
Nagaland,NL_District_03,41039,20312,20727,84.54,898,45.7,1020,14685,Synthetic / Simulated,2025
Nagaland,NL_District_04,15216,7572,7644,84.61,5057,3.01,1010,4746,Synthetic / Simulated,2025
Nagaland,NL_District_05,14582,7300,7282,81.17,1929,7.56,998,3613,Synthetic / Simulated,2025
Nagaland,NL_District_06,49616,24740,24876,79.06,1535,32.32,1005,16159,Synthetic / Simulated,2025
Nagaland,NL_District_07,23351,11804,11547,84.56,2105,11.09,978,6443,Synthetic / Simulated,2025
Nagaland,NL_District_08,49693,24824,24869,81.26,6247,7.95,1002,18440,Synthetic / Simulated,2025
Nagaland,NL_District_09,32697,16584,16113,84.21,996,32.83,972,12123,Synthetic / Simulated,2025
Nagaland,NL_District_10,26412,13156,13256,82.04,3388,7.8,1008,7444,Synthetic / Simulated,2025
Nagaland,NL_District_11,38276,19186,19090,80.84,5681,6.74,995,9732,Synthetic / Simulated,2025
Nagaland,NL_District_12,53894,26866,27028,79.36,3579,15.06,1006,19383,Synthetic / Simulated,2025
Nagaland,NL_District_13,38932,19458,19474,81.88,6302,6.18,1001,10587,Synthetic / Simulated,2025
Nagaland,NL_District_14,56202,27795,28407,80.81,4704,11.95,1022,15471,Synthetic / Simulated,2025
Nagaland,NL_District_15,40849,20732,20117,79.13,6647,6.15,970,15287,Synthetic / Simulated,2025
Nagaland,NL_District_16,53092,26354,26738,84.3,1720,30.87,1015,14014,Synthetic / Simulated,2025
Nagaland,NL_District_17,66306,33322,32984,83.56,4788,13.85,990,20268,Synthetic / Simulated,2025
Nagaland,NL_District_18,57261,28501,28760,85.1,4350,13.16,1009,19071,Synthetic / Simulated,2025
Nagaland,NL_District_19,70508,34752,35756,84.16,6759,10.43,1029,18340,Synthetic / Simulated,2025
Nagaland,NL_District_20,72169,36240,35929,81.93,5091,14.18,991,20144,Synthetic / Simulated,2025
Odisha,OD_District_01,42432,22396,20036,75.55,430,98.68,895,16513,Synthetic / Simulated,2025
Odisha,OD_District_02,75285,38848,36437,80.54,1230,61.21,938,27257,Synthetic / Simulated,2025
Odisha,OD_District_03,54237,27960,26277,76.64,2057,26.37,940,15258,Synthetic / Simulated,2025
Odisha,OD_District_04,82410,42478,39932,81.25,1391,59.25,940,34096,Synthetic / Simulated,2025
Odisha,OD_District_05,60516,31428,29088,78.59,726,83.36,926,18129,Synthetic / Simulated,2025
Odisha,OD_District_06,86401,44277,42124,80.2,2380,36.3,951,35317,Synthetic / Simulated,2025
Odisha,OD_District_07,61913,32119,29794,78.86,1806,34.28,928,19476,Synthetic / Simulated,2025
Odisha,OD_District_08,66527,35135,31392,81.33,1416,46.98,893,19599,Synthetic / Simulated,2025
Odisha,OD_District_09,56383,29038,27345,80.09,1982,28.45,942,20367,Synthetic / Simulated,2025
Odisha,OD_District_10,79380,41044,38336,75.36,1150,69.03,934,34049,Synthetic / Simulated,2025
Odisha,OD_District_11,86010,45223,40787,81.06,2649,32.47,902,28905,Synthetic / Simulated,2025
Odisha,OD_District_12,71069,36969,34100,77.32,1879,37.82,922,28524,Synthetic / Simulated,2025
Odisha,OD_District_13,81428,42381,39047,75.07,2294,35.5,921,32800,Synthetic / Simulated,2025
Odisha,OD_District_14,85992,44120,41872,77.36,2776,30.98,949,28144,Synthetic / Simulated,2025
Odisha,OD_District_15,74270,39158,35112,76.42,2091,35.52,897,29987,Synthetic / Simulated,2025
Odisha,OD_District_16,69876,36169,33707,80.76,1405,49.73,932,25939,Synthetic / Simulated,2025
Odisha,OD_District_17,92096,47888,44208,78.78,1704,54.05,923,27123,Synthetic / Simulated,2025
Odisha,OD_District_18,77268,40453,36815,78.72,2434,31.75,910,29142,Synthetic / Simulated,2025
Odisha,OD_District_19,58002,30406,27596,74.77,1286,45.1,908,17366,Synthetic / Simulated,2025
Odisha,OD_District_20,79772,41996,37776,79.96,2708,29.46,900,32194,Synthetic / Simulated,2025
Punjab,PB_District_01,36941,19664,17277,88.95,3206,11.52,879,16079,Synthetic / Simulated,2025
Punjab,PB_District_02,62137,33296,28841,86.43,3185,19.51,866,24249,Synthetic / Simulated,2025
Punjab,PB_District_03,66434,34965,31469,87,1521,43.68,900,26633,Synthetic / Simulated,2025
Punjab,PB_District_04,54799,29534,25265,86.66,3162,17.33,855,24923,Synthetic / Simulated,2025
Punjab,PB_District_05,38070,20097,17973,87.86,1407,27.06,894,17509,Synthetic / Simulated,2025
Punjab,PB_District_06,51266,27198,24068,86.41,1647,31.13,885,28004,Synthetic / Simulated,2025
Punjab,PB_District_07,64857,34804,30053,86.13,3030,21.4,863,29465,Synthetic / Simulated,2025
Punjab,PB_District_08,40507,21707,18800,85.84,1218,33.26,866,18345,Synthetic / Simulated,2025
Punjab,PB_District_09,78759,42289,36470,86.92,1598,49.29,862,42243,Synthetic / Simulated,2025
Punjab,PB_District_10,43665,23142,20523,89.18,2601,16.79,887,18014,Synthetic / Simulated,2025
Punjab,PB_District_11,58805,31177,27628,88.04,2273,25.87,886,26828,Synthetic / Simulated,2025
Punjab,PB_District_12,85552,45080,40472,87.73,4072,21.01,898,39531,Synthetic / Simulated,2025
Punjab,PB_District_13,38022,20261,17761,91.1,3184,11.94,877,18739,Synthetic / Simulated,2025
Punjab,PB_District_14,79981,41722,38259,84.68,1387,57.66,917,41107,Synthetic / Simulated,2025
Punjab,PB_District_15,74116,39366,34750,89.01,3367,22.01,883,36003,Synthetic / Simulated,2025
Punjab,PB_District_16,61197,32880,28317,88.98,4386,13.95,861,31676,Synthetic / Simulated,2025
Punjab,PB_District_17,58191,30764,27427,90.95,1291,45.07,892,29389,Synthetic / Simulated,2025
Punjab,PB_District_18,76164,40438,35726,91.33,1865,40.84,883,32169,Synthetic / Simulated,2025
Punjab,PB_District_19,63162,33192,29970,86.77,3006,21.01,903,31390,Synthetic / Simulated,2025
Punjab,PB_District_20,78014,41209,36805,86.05,4220,18.49,893,39040,Synthetic / Simulated,2025
Rajasthan,RJ_District_01,52183,28098,24085,76.35,767,68.04,857,14261,Synthetic / Simulated,2025
Rajasthan,RJ_District_02,66669,35503,31166,76.25,525,126.99,878,25095,Synthetic / Simulated,2025
Rajasthan,RJ_District_03,69081,36378,32703,81.4,915,75.5,899,24926,Synthetic / Simulated,2025
Rajasthan,RJ_District_04,74271,39662,34609,78.77,764,97.21,873,25386,Synthetic / Simulated,2025
Rajasthan,RJ_District_05,93329,48743,44586,79.9,642,145.37,915,35443,Synthetic / Simulated,2025
Rajasthan,RJ_District_06,52049,27782,24267,76.65,1076,48.37,873,18799,Synthetic / Simulated,2025
Rajasthan,RJ_District_07,92084,49163,42921,77.81,986,93.39,873,30155,Synthetic / Simulated,2025
Rajasthan,RJ_District_08,78284,42176,36108,79.11,803,97.49,856,19421,Synthetic / Simulated,2025
Rajasthan,RJ_District_09,75402,39950,35452,80.08,839,89.87,887,17772,Synthetic / Simulated,2025
Rajasthan,RJ_District_10,77182,40451,36731,79.43,947,81.5,908,26081,Synthetic / Simulated,2025
Rajasthan,RJ_District_11,79247,41913,37334,80.95,1208,65.6,891,25241,Synthetic / Simulated,2025
Rajasthan,RJ_District_12,115299,60579,54720,81.07,1082,106.56,903,36358,Synthetic / Simulated,2025
Rajasthan,RJ_District_13,83618,43605,40013,77.02,1003,83.37,918,28308,Synthetic / Simulated,2025
Rajasthan,RJ_District_14,89740,47080,42660,76.97,1308,68.61,906,20075,Synthetic / Simulated,2025
Rajasthan,RJ_District_15,72106,37937,34169,81.71,1209,59.64,901,23726,Synthetic / Simulated,2025
Rajasthan,RJ_District_16,91585,49001,42584,80.87,1183,77.42,869,34258,Synthetic / Simulated,2025
Rajasthan,RJ_District_17,110432,58783,51649,79.99,1405,78.6,879,40764,Synthetic / Simulated,2025
Rajasthan,RJ_District_18,61618,32163,29455,80.11,1584,38.9,916,16707,Synthetic / Simulated,2025
Rajasthan,RJ_District_19,107388,57488,49900,80.51,1328,80.86,868,37579,Synthetic / Simulated,2025
Rajasthan,RJ_District_20,92457,49745,42712,82.23,1623,56.97,859,21622,Synthetic / Simulated,2025
Sikkim,SK_District_01,45937,23028,22909,90.58,4745,9.68,995,11894,Synthetic / Simulated,2025
Sikkim,SK_District_02,10383,5275,5108,88.29,2763,3.76,968,3509,Synthetic / Simulated,2025
Sikkim,SK_District_03,20487,10134,10353,85.54,5199,3.94,1022,7786,Synthetic / Simulated,2025
Sikkim,SK_District_04,24859,12468,12391,86.86,901,27.59,994,6417,Synthetic / Simulated,2025
Sikkim,SK_District_05,44285,22304,21981,88.54,5004,8.85,986,15815,Synthetic / Simulated,2025
Sikkim,SK_District_06,22549,11272,11277,86.9,3972,5.68,1000,5794,Synthetic / Simulated,2025
Sikkim,SK_District_07,55217,27557,27660,85.74,6749,8.18,1004,18676,Synthetic / Simulated,2025
Sikkim,SK_District_08,25556,12552,13004,91.17,5131,4.98,1036,8147,Synthetic / Simulated,2025
Sikkim,SK_District_09,56543,28517,28026,85.38,7147,7.91,983,19675,Synthetic / Simulated,2025
Sikkim,SK_District_10,41519,20933,20586,87.82,3192,13.01,983,13092,Synthetic / Simulated,2025
Sikkim,SK_District_11,42815,21232,21583,91.43,1804,23.73,1017,13950,Synthetic / Simulated,2025
Sikkim,SK_District_12,49337,24679,24658,91.17,3402,14.5,999,14844,Synthetic / Simulated,2025
Sikkim,SK_District_13,29079,14613,14466,86.53,1017,28.59,990,9240,Synthetic / Simulated,2025
Sikkim,SK_District_14,60807,30586,30221,89.13,6034,10.08,988,17306,Synthetic / Simulated,2025
Sikkim,SK_District_15,53675,26700,26975,90.63,7416,7.24,1010,17098,Synthetic / Simulated,2025
Sikkim,SK_District_16,48713,24359,24354,90.47,1490,32.69,1000,13510,Synthetic / Simulated,2025
Sikkim,SK_District_17,38788,19058,19730,90.34,3639,10.66,1035,10172,Synthetic / Simulated,2025
Sikkim,SK_District_18,39220,19553,19667,89.03,4904,8,1006,12955,Synthetic / Simulated,2025
Sikkim,SK_District_19,39527,19791,19736,91.11,6221,6.35,997,14974,Synthetic / Simulated,2025
Sikkim,SK_District_20,59411,29325,30086,85.6,5257,11.3,1026,19227,Synthetic / Simulated,2025
Tamil Nadu,TN_District_01,94107,49193,44914,93.64,653,144.11,913,45516,Synthetic / Simulated,2025
Tamil Nadu,TN_District_02,59102,31166,27936,88.94,640,92.35,896,29052,Synthetic / Simulated,2025
Tamil Nadu,TN_District_03,67621,34645,32976,92.08,587,115.2,952,43145,Synthetic / Simulated,2025
Tamil Nadu,TN_District_04,75656,39455,36201,89.39,805,93.98,918,38015,Synthetic / Simulated,2025
Tamil Nadu,TN_District_05,95674,48926,46748,88.06,830,115.27,955,54338,Synthetic / Simulated,2025
Tamil Nadu,TN_District_06,98897,50738,48159,90.76,744,132.93,949,57440,Synthetic / Simulated,2025
Tamil Nadu,TN_District_07,101867,53850,48017,88.55,752,135.46,892,50785,Synthetic / Simulated,2025
Tamil Nadu,TN_District_08,72783,38167,34616,92.65,994,73.22,907,45745,Synthetic / Simulated,2025
Tamil Nadu,TN_District_09,69389,36620,32769,92.01,814,85.24,895,38301,Synthetic / Simulated,2025
Tamil Nadu,TN_District_10,92914,48972,43942,91.36,971,95.69,897,55149,Synthetic / Simulated,2025
Tamil Nadu,TN_District_11,116012,60166,55846,90.46,934,124.21,928,58698,Synthetic / Simulated,2025
Tamil Nadu,TN_District_12,90240,47199,43041,92.95,1089,82.87,912,48998,Synthetic / Simulated,2025
Tamil Nadu,TN_District_13,83660,43029,40631,88.37,1055,79.3,944,40215,Synthetic / Simulated,2025
Tamil Nadu,TN_District_14,73700,38140,35560,91.23,1057,69.73,932,40385,Synthetic / Simulated,2025
Tamil Nadu,TN_District_15,82883,42633,40250,89.43,1172,70.72,944,44044,Synthetic / Simulated,2025
Tamil Nadu,TN_District_16,85316,44265,41051,88.63,1138,74.97,927,52762,Synthetic / Simulated,2025
Tamil Nadu,TN_District_17,97522,50416,47106,87.81,1290,75.6,934,51136,Synthetic / Simulated,2025
Tamil Nadu,TN_District_18,120179,63216,56963,92.33,1348,89.15,901,58243,Synthetic / Simulated,2025
Tamil Nadu,TN_District_19,113344,58305,55039,88.2,1417,79.99,944,67275,Synthetic / Simulated,2025
Tamil Nadu,TN_District_20,83285,43504,39781,90,1541,54.05,914,41925,Synthetic / Simulated,2025
Telangana,TS_District_01,63417,32929,30488,84.89,1367,46.39,926,35874,Synthetic / Simulated,2025
Telangana,TS_District_02,54481,28168,26313,83.12,620,87.87,934,27035,Synthetic / Simulated,2025
Telangana,TS_District_03,55374,28359,27015,85.77,3112,17.79,953,28292,Synthetic / Simulated,2025
Telangana,TS_District_04,48744,25248,23496,82.7,1927,25.3,931,22280,Synthetic / Simulated,2025
Telangana,TS_District_05,62258,31886,30372,86.77,2551,24.41,953,29077,Synthetic / Simulated,2025
Telangana,TS_District_06,38396,20077,18319,85.79,2199,17.46,912,21392,Synthetic / Simulated,2025
Telangana,TS_District_07,86586,45506,41080,86.28,1384,62.56,903,47975,Synthetic / Simulated,2025
Telangana,TS_District_08,46246,24451,21795,88.27,1405,32.92,891,26085,Synthetic / Simulated,2025
Telangana,TS_District_09,43610,23056,20554,83.63,1139,38.29,891,24755,Synthetic / Simulated,2025
Telangana,TS_District_10,93718,47921,45797,85.65,3451,27.16,956,47167,Synthetic / Simulated,2025
Telangana,TS_District_11,53960,28058,25902,84.46,2380,22.67,923,30632,Synthetic / Simulated,2025
Telangana,TS_District_12,73364,37498,35866,85.92,3313,22.14,956,42473,Synthetic / Simulated,2025
Telangana,TS_District_13,46054,23846,22208,88.78,1691,27.23,931,20758,Synthetic / Simulated,2025
Telangana,TS_District_14,85560,44046,41514,82.75,3571,23.96,943,51478,Synthetic / Simulated,2025
Telangana,TS_District_15,55640,28486,27154,85.89,3225,17.25,953,31317,Synthetic / Simulated,2025
Telangana,TS_District_16,74195,38010,36185,84.45,1498,49.53,952,38661,Synthetic / Simulated,2025
Telangana,TS_District_17,93577,49142,44435,89.49,3610,25.92,904,45929,Synthetic / Simulated,2025
Telangana,TS_District_18,96644,50078,46566,85.63,3147,30.71,930,48336,Synthetic / Simulated,2025
Telangana,TS_District_19,95961,49157,46804,86.84,3000,31.99,952,54624,Synthetic / Simulated,2025
Telangana,TS_District_20,72580,37245,35335,87.37,1575,46.08,949,44219,Synthetic / Simulated,2025
Tripura,TR_District_01,28711,14512,14199,81.44,2530,11.35,978,11793,Synthetic / Simulated,2025
Tripura,TR_District_02,36013,18312,17701,80.33,4966,7.25,967,13940,Synthetic / Simulated,2025
Tripura,TR_District_03,37111,19075,18036,81.9,5832,6.36,946,13999,Synthetic / Simulated,2025
Tripura,TR_District_04,62580,31640,30940,82.23,5264,11.89,978,22925,Synthetic / Simulated,2025
Tripura,TR_District_05,32527,16568,15959,79.89,3799,8.56,963,9076,Synthetic / Simulated,2025
Tripura,TR_District_06,48962,25103,23859,84.51,779,62.85,950,17190,Synthetic / Simulated,2025
Tripura,TR_District_07,39880,20494,19386,83.22,779,51.19,946,11173,Synthetic / Simulated,2025
Tripura,TR_District_08,47925,24154,23771,80.12,1913,25.05,984,19363,Synthetic / Simulated,2025
Tripura,TR_District_09,64143,32209,31934,82.59,3949,16.24,991,19042,Synthetic / Simulated,2025
Tripura,TR_District_10,37888,19316,18572,79.83,1610,23.53,961,14041,Synthetic / Simulated,2025
Tripura,TR_District_11,45114,22863,22251,84.48,5591,8.07,973,12928,Synthetic / Simulated,2025
Tripura,TR_District_12,43998,22120,21878,82.37,2212,19.89,989,15730,Synthetic / Simulated,2025
Tripura,TR_District_13,64593,33381,31212,85.28,5188,12.45,935,19090,Synthetic / Simulated,2025
Tripura,TR_District_14,62023,31436,30587,84.45,1854,33.45,973,25656,Synthetic / Simulated,2025
Tripura,TR_District_15,54587,27778,26809,84.52,5534,9.86,965,17586,Synthetic / Simulated,2025
Tripura,TR_District_16,37995,19298,18697,82.39,2029,18.73,969,11023,Synthetic / Simulated,2025
Tripura,TR_District_17,67871,34398,33473,82.94,4671,14.53,973,28059,Synthetic / Simulated,2025
Tripura,TR_District_18,43918,22096,21822,81.8,2169,20.25,988,15705,Synthetic / Simulated,2025
Tripura,TR_District_19,77395,39833,37562,82.66,1445,53.56,943,25716,Synthetic / Simulated,2025
Tripura,TR_District_20,82714,42264,40450,84.77,2414,34.26,957,26308,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_01,91259,48902,42357,70.72,427,213.72,866,33149,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_02,84323,44744,39579,71.41,474,177.9,885,28559,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_03,110556,59537,51019,73.76,521,212.2,857,28065,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_04,92283,49726,42557,71.53,568,162.47,856,31847,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_05,80622,42452,38170,72.56,615,131.09,899,22516,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_06,99482,52975,46507,74.09,662,150.27,878,35997,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_07,109705,57223,52482,70.87,709,154.73,917,31571,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_08,115895,60714,55181,69.54,756,153.3,909,39083,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_09,118313,63231,55082,75.47,803,147.34,871,37210,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_10,140831,73745,67086,74.17,850,165.68,910,47926,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_11,89438,47395,42043,68.66,897,99.71,887,21551,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_12,105473,55684,49789,71.16,944,111.73,894,23980,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_13,138758,74244,64514,69.51,991,140.02,869,42714,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_14,103891,54580,49311,70.95,1038,100.09,903,29645,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_15,105410,56650,48760,70.49,1085,97.15,861,23039,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_16,115949,60861,55088,71.04,1132,102.43,905,33627,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_17,93490,49379,44111,71.49,1179,79.3,893,19749,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_18,113155,60917,52238,75.4,1226,92.3,858,24432,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_19,147763,77766,69997,71.18,1273,116.07,900,46723,Synthetic / Simulated,2025
Uttar Pradesh,UP_District_20,115202,60688,54514,69.15,1320,87.27,898,31800,Synthetic / Simulated,2025
Uttarakhand,UK_District_01,54782,28105,26677,84.33,5110,10.72,949,20106,Synthetic / Simulated,2025
Uttarakhand,UK_District_02,35443,17849,17594,81.01,4416,8.03,986,11285,Synthetic / Simulated,2025
Uttarakhand,UK_District_03,23200,11885,11315,80.46,2174,10.67,952,7473,Synthetic / Simulated,2025
Uttarakhand,UK_District_04,32695,16957,15738,82.94,3414,9.58,928,12987,Synthetic / Simulated,2025
Uttarakhand,UK_District_05,37629,19223,18406,84.07,1510,24.92,957,13730,Synthetic / Simulated,2025
Uttarakhand,UK_District_06,62079,32124,29955,79.78,4484,13.84,932,25216,Synthetic / Simulated,2025
